,accuracy
854,0
855,6.25
856,10.9375
857,45.3125
858,0
859,21.875
860,4.6875
861,32.8125
862,21.875
863,1.5625
864,3.125
865,0
866,0
867,0
868,14.0625
869,45.3125
870,54.6875
871,18.75
872,14.0625
873,0
874,32.8125
875,43.75
876,68.75
877,48.4375
878,6.25
879,28.125
880,17.1875
881,42.1875
882,25
883,26.5625
884,51.5625
885,3.125
886,21.875
887,17.1875
888,45.3125
889,40.625
890,43.75
891,20.3125
892,68.75
893,18.75
894,31.25
895,57.8125
896,60.9375
897,32.8125
898,32.8125
899,48.4375
900,43.75
901,34.375
902,57.8125
903,32.8125
904,62.5
905,35.9375
906,35.9375
907,62.5
908,6.25
909,37.5
910,9.375
911,54.6875
912,62.5
913,3.125
914,57.8125
915,54.6875
916,26.5625
917,37.5
918,10.9375
919,25
920,21.875
921,40.625
922,25
923,46.875
924,0
925,51.5625
926,46.875
927,35.9375
928,23.4375
929,10.9375
930,42.1875
931,10.9375
932,40.625
933,25
934,39.0625
935,39.0625
936,9.375
937,35.9375
938,25
939,21.875
940,14.0625
941,20.3125
942,43.75
943,32.8125
944,39.0625
945,51.5625
946,17.1875
947,37.5
948,18.75
949,45.3125
950,32.8125
951,23.4375
952,40.625
953,37.5
954,32.8125
955,15.625
956,40.625
957,21.875
958,31.25
959,40.625
960,39.0625
961,46.875
962,39.0625
963,25
964,14.0625
965,31.25
966,15.625
967,39.0625
968,12.5
969,29.6875
970,10.9375
971,48.4375
972,28.125
973,12.5
974,25
975,18.75
976,9.375
977,15.625
978,9.375
979,15.625
980,3.125
981,51.5625
982,48.4375
983,37.5
984,14.0625
985,9.375
986,45.3125
987,53.125
988,51.5625
989,12.5
990,45.3125
991,9.375
992,10.9375
993,4.6875
994,0
995,18.75
996,0
997,4.6875
998,39.0625
999,25
